LOCATION,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,mean
NZL,35.082473,35.741581,36.439294,37.128721,36.96991,36.908863,37.421156,38.859858,37.664881,39.646401,39.296073,40.052755,41.552746,40.677193,40.618259,41.622831,41.18184,41.238821,42.124762,41.896816,42.493108,43.34434,39.452849
POL,22.242809,23.011311,24.271393,25.3468,26.307045,26.72517,27.469543,28.184305,28.402336,29.321396,31.083531,32.549662,33.099257,33.466584,34.050522,34.879786,35.57778,37.315221,39.854227,41.752351,41.230426,41.517137,31.711754
PRT,33.384117,33.739822,33.992966,34.131576,34.875983,35.272311,35.927996,36.491637,36.727659,36.569423,37.685603,38.245249,38.619119,39.177467,38.779615,38.771567,38.796107,39.111943,39.075294,39.667314,40.114162,40.508787,37.257533
ROU,12.320277,13.105868,15.299585,15.921944,17.832453,18.818376,20.350859,21.467073,23.850073,23.643342,23.160239,24.049819,24.696408,25.927477,26.867369,28.121919,29.395662,31.211224,32.557472,33.576037,32.846876,37.514761,24.206142
RUS,15.655187,16.45549,16.822009,18.010897,19.061609,20.051286,21.373371,22.622358,23.700889,22.631987,23.414143,24.058067,24.74773,25.261952,25.331478,24.649304,24.7235,25.137929,25.884473,26.698227,27.680927,28.699798,22.848755
SVK,23.959311,24.800377,26.583421,28.668586,29.479998,30.452693,32.274839,34.710747,35.458839,34.443631,36.808876,37.384872,37.942721,38.860596,39.622443,40.990746,41.14646,42.075311,43.157588,44.096386,46.742652,48.091287,36.261472
SVN,31.263905,32.355075,32.497236,33.50062,34.599443,36.938074,39.128271,40.808356,40.752803,38.181149,39.491962,40.925467,40.691154,40.292879,40.753894,40.981064,42.404997,44.000646,45.061827,45.540786,45.85871,47.075129,39.68652
SWE,55.003831,55.439481,57.448729,59.62107,61.719788,63.473288,65.301313,65.489276,64.336167,63.430047,65.653328,66.185529,65.868736,66.395834,67.152902,69.074511,68.649665,69.261329,69.514519,71.101216,71.857873,73.669232,65.256712
TUR,26.246346,24.681869,26.339978,28.078322,30.644277,32.580282,34.111688,35.924232,35.805009,34.328244,35.19322,37.128369,37.905972,40.465033,40.443125,42.094218,43.044787,45.090563,46.227634,47.988606,56.539377,53.129297,37.908657
USA,54.498167,55.693841,57.234571,58.965218,60.508037,61.772075,62.356937,63.232583,64.042431,66.089234,67.835887,67.86187,68.118059,68.407849,68.665009,69.047471,69.256659,69.876907,70.664702,71.520554,73.957559,74.838217,65.656538
ZAF,15.214717,15.876697,16.567479,17.753931,18.022495,17.469945,18.189686,19.043363,18.446211,18.952649,20.225573,20.299933,20.516167,20.514456,20.533058,22.553865,19.938277,19.927223,19.859829,19.803255,21.265347,22.835387,19.26407
