Country_Name,Country_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Chile,CHL,0.313056964,0.333484703,0.337359244,0.347616935,0.362716231,0.376925711,0.372533913,0.380977651,0.377045163,0.385173141,0.416610123,0.439343554,0.450890465,0.45695466,0.452129615,0.469304636,0.468798795,0.460848773,0.466541059
China,CHN,0.306433691,0.386012069,0.402028401,0.422713751,0.447366975,0.469583227,0.477687336,0.49547874,0.521813681,0.554751366,0.589228039,0.607149851,0.618566979,0.626662506,0.634090749,0.653171837,0.642988402,0.654465218,0.665030289
Colombia,COL,0.256702973,0.263673934,0.268374266,0.276840042,0.284490437,0.307479474,0.309895962,0.31960822,0.330450696,0.338353987,0.359451001,0.371060218,0.392010343,0.402254603,0.403151574,0.416232133,0.410083808,0.416493056,0.417599946
Comoros,COM,0.054246953,0.061248644,0.065803532,0.071074534,0.076641544,0.082043216,0.0870611,0.093667096,0.100293303,0.105855379,0.124141785,0.130531304,0.134610319,0.138340294,0.142201889,0.149367397,0.144255487,0.203253123,0.150701748
"Congo, Dem. Rep.",COD,0.066719694,0.06764938,0.069244568,0.07098822,0.071389295,0.066073861,0.068629814,0.072097239,0.066958088,0.062425341,0.064033192,0.064799922,0.065208299,0.067575617,0.070549436,0.072195847,0.064104696,0.070740703,0.069219929
"Congo, Rep.",COG,0.090124681,0.094789175,0.098829486,0.103906761,0.108380335,0.11324637,0.118321902,0.125209024,0.132813337,0.140900786,0.161376956,0.166236396,0.166580742,0.178698274,0.181041912,0.193529972,0.189369883,0.192338657,0.194483992
Costa Rica,CRI,0.240604733,0.350336542,0.37189259,0.381100092,0.389843115,0.400491853,0.399693108,0.406493287,0.408750953,0.424401247,0.429442416,0.455845217,0.485537409,0.497037004,0.47559807,0.450471927,0.446316951,0.464466612,0.466045652
Cote d'Ivoire,CIV,0.113707601,0.144033431,0.147723357,0.146407956,0.147671098,0.156810582,0.151987747,0.168492647,0.181726358,0.177331629,0.165450456,0.199345838,0.177830614,0.182232344,0.210874982,0.222457498,0.226829585,0.24570719,0.252488556
Croatia,HRV,0.313293395,0.352414748,0.367227585,0.376358588,0.400312011,0.414598625,0.406675848,0.419090095,0.405090199,0.409934702,0.4318218,0.435813995,0.447706888,0.449338497,0.434762708,0.434919523,0.428547059,0.410025051,0.420613146
Cuba,CUB,0.217304333,0.221640707,0.227674113,0.239443718,0.271772609,0.28350719,0.31360169,0.327671632,0.32790599,0.330493329,0.317934855,0.302101082,0.286555502,0.277844382,0.269004333,0.27633753,0.282497393,0.30566487,0.311448283
Cyprus,CYP,0.350735502,0.425622465,0.44509714,0.463172833,0.486908631,0.48588941,0.465773548,0.480463892,0.48270253,0.490481744,0.514112542,0.504377125,0.470281098,0.461667605,0.464213705,0.470751397,0.46592562,0.48397338,0.503651937
Czech Republic,CZE,0.352898069,0.405969649,0.429454861,0.44539495,0.4630654,0.468156038,0.461371168,0.466017665,0.475087518,0.470977164,0.486857148,0.495659576,0.498683184,0.488610258,0.477006057,0.471508697,0.452719008,0.458580575,0.463481972
Denmark,DNK,0.523839666,0.552972906,0.575637938,0.584243186,0.605763784,0.605766027,0.577754614,0.565925999,0.546439418,0.540108328,0.535276319,0.547327625,0.549642183,0.539550206,0.524421568,0.527013266,0.507066531,0.496208687,0.495923034
Djibouti,DJI,0.116686961,0.119880574,0.114023648,0.124352051,0.125858174,0.126603517,0.125237303,0.12747723,0.130393623,0.132841159,0.138840097,0.142666477,0.140615996,0.143726771,0.146212484,0.149047638,0.150724195,0.207111289,0.207645598
Dominican Republic,DOM,0.230866157,0.257977963,0.265736209,0.26696773,0.274836828,0.285562486,0.290597893,0.3050074,0.299634072,0.30666042,0.323650702,0.336025934,0.345474142,0.352809256,0.34383486,0.357795887,0.365749848,0.38251827,0.392139813
Ecuador,ECU,0.255453244,0.267472057,0.272364594,0.276104232,0.287174597,0.299896199,0.30264209,0.306119219,0.315820877,0.317182634,0.344147364,0.335706906,0.343378908,0.353588131,0.355124936,0.355203156,0.360165177,0.365682892,0.362509357
"Egypt, Arab Rep.",EGY,0.197340339,0.200182684,0.206269988,0.20761918,0.223704731,0.234132842,0.232221656,0.244282623,0.2494613,0.25574652,0.274786884,0.281921218,0.291304162,0.29612294,0.291502557,0.291743564,0.288718047,0.291972985,0.288801627
El Salvador,SLV,0.212016142,0.226331187,0.226883907,0.233674738,0.243547969,0.25212649,0.261972177,0.289004976,0.292396806,0.294913043,0.308054802,0.321104177,0.32939164,0.335494608,0.327639281,0.32926096,0.326060493,0.333086217,0.337952897
Equatorial Guinea,GNQ,0.12553393,0.127278147,0.130459573,0.13258537,0.135546575,0.138458972,0.136615232,0.136998519,0.136350765,0.134789846,0.152054051,0.162764452,0.163282052,0.164448965,0.164581529,0.166278687,0.167141234,0.167313477,0.166910761
Eritrea,ERI,0.104549502,0.109411933,0.114059684,0.116421622,0.117960296,0.11865473,0.117776037,0.115322339,0.113904339,0.112018319,0.112571172,0.113000557,0.111077592,0.110364974,0.111381148,0.110646096,0.110371792,0.113509433,0.113159001
Estonia,EST,0.425865605,0.445608327,0.458318873,0.472268172,0.497824494,0.513642403,0.503239838,0.501990012,0.486112134,0.473789004,0.501991333,0.534641166,0.540838015,0.530837379,0.522946762,0.529353687,0.504565164,0.498023707,0.497806679
Eswatini,SWZ,0.064773022,0.069800503,0.07068628,0.078096271,0.088336909,0.094739731,0.094416647,0.108730628,0.121508266,0.121097661,0.139641642,0.159232227,0.165189683,0.178227526,0.18491332,0.185064441,0.191211712,0.221671454,0.227029494
Ethiopia,ETH,0.08325003,0.111061329,0.113307524,0.116196565,0.116692349,0.097375856,0.115434717,0.174575936,0.115004975,0.114996954,0.117650418,0.102424472,0.123414088,0.12646444,0.132597882,0.143391143,0.161595164,0.255375707,0.253732717
Fiji,FJI,0.182918724,0.194234021,0.205518225,0.208429028,0.214636302,0.222332383,0.224837519,0.250850129,0.250392366,0.257967725,0.269760159,0.286749328,0.294442971,0.297504734,0.289757701,0.300847701,0.305957348,0.309318863,0.312965673
Finland,FIN,0.538206853,0.57697687,0.589348306,0.587054784,0.594175894,0.589433842,0.571489212,0.565587213,0.560888255,0.541943825,0.553826838,0.557026949,0.553250709,0.518255886,0.497407835,0.49102742,0.473077694,0.469548978,0.470221
France,FRA,0.422270357,0.482366392,0.474913417,0.480451365,0.489478471,0.49185591,0.475263954,0.498882491,0.499695823,0.503884866,0.525572063,0.528262865,0.538523781,0.529662574,0.519501621,0.520283382,0.498051381,0.49890936,0.498465053
Gabon,GAB,0.132307923,0.137176895,0.146656816,0.149548575,0.162763733,0.180772447,0.178400476,0.190649919,0.192763409,0.195561535,0.219886084,0.249466984,0.260907835,0.269606775,0.277839193,0.28229559,0.28063,0.288153665,0.295249646
"Gambia, The",GMB,0.073350664,0.078389469,0.083713522,0.082567493,0.094126987,0.092162699,0.105682122,0.123372451,0.136430927,0.138560386,0.155087169,0.158054276,0.150086476,0.177046452,0.171367295,0.183759174,0.183656127,0.184264314,0.192501259
Georgia,GEO,0.285574469,0.303508243,0.309177367,0.317820397,0.317401438,0.324921461,0.314357726,0.320578537,0.312695947,0.311975612,0.350070826,0.369672281,0.381852562,0.397024537,0.401250694,0.415090729,0.415071849,0.414816328,0.419617731
Germany,DEU,0.519580005,0.540757279,0.553508092,0.556243823,0.575152126,0.582252335,0.561039383,0.567475025,0.559772547,0.556616058,0.558743556,0.557932704,0.559702073,0.558382017,0.548180263,0.550217974,0.532449307,0.530881174,0.530562846
Ghana,GHA,0.129635395,0.136598251,0.14029198,0.14131526,0.148870326,0.153035404,0.155163566,0.165187606,0.174668723,0.181784459,0.195307327,0.203900958,0.236328211,0.240080825,0.260141686,0.261855788,0.273501191,0.278568686,0.297057053
Greece,GRC,0.387503702,0.419322081,0.440478201,0.439619217,0.459997705,0.474253135,0.467321777,0.463229081,0.464555703,0.472330767,0.48732531,0.500478219,0.509261188,0.503040832,0.501015784,0.51418744,0.504004399,0.50738751,0.507339046
Guatemala,GTM,0.152320988,0.166798698,0.180536087,0.18642642,0.195709861,0.205889826,0.219435136,0.238062194,0.246987557,0.251844969,0.267305349,0.273184391,0.294171069,0.295304936,0.267798938,0.288419511,0.291599474,0.336488855,0.339387707
Guinea,GIN,0.056432836,0.060817824,0.063922915,0.066708501,0.068656376,0.068013325,0.078250804,0.086981895,0.091257378,0.092942006,0.099802462,0.10597418,0.103756274,0.12055622,0.132414904,0.136082733,0.130476019,0.144220359,0.154459747
Guinea-Bissau,GNB,0.06375194,0.064116529,0.065849684,0.066923247,0.068733955,0.070083874,0.082263026,0.077192442,0.083168555,0.073280334,0.0791759,0.087719301,0.097747955,0.092876218,0.096726631,0.102568642,0.101983694,0.109317949,0.111421776
Guyana,GUY,0.177537006,0.191853586,0.186249237,0.191551686,0.201528297,0.212343105,0.208723884,0.227242466,0.21936232,0.222464978,0.247581064,0.247345893,0.250309512,0.252736808,0.250803156,0.251309455,0.252667744,0.258859377,0.249988231
Haiti,HTI,0.091823424,0.090949035,0.096253417,0.098174357,0.10808925,0.109718686,0.111302338,0.120474541,0.122368467,0.121200183,0.123853339,0.125481893,0.135104781,0.143262928,0.139463004,0.142742974,0.133436675,0.136785322,0.163429568
Honduras,HND,0.160430859,0.15965118,0.161954254,0.169000638,0.17564725,0.183931503,0.190512691,0.208087896,0.222289329,0.235652861,0.256549503,0.248369376,0.248117709,0.257599682,0.256299043,0.268211713,0.268754613,0.271462688,0.279510935
Hungary,HUN,0.314652354,0.394295559,0.41039735,0.42938483,0.454799895,0.476573873,0.47108776,0.479335665,0.480714986,0.474211414,0.485523051,0.489706302,0.480329476,0.465591243,0.450024306,0.438093109,0.432026461,0.430930788,0.429578592
Iceland,ISL,0.549107448,0.664779436,0.693546783,0.698267392,0.707681175,0.698554834,0.674124991,0.666943414,0.6208326,0.586246717,0.57557305,0.581385465,0.564634906,0.555330866,0.551030565,0.556628058,0.543611831,0.546570514,0.53925675
India,IND,0.151664635,0.16531878,0.177309622,0.183251935,0.186866373,0.19431895,0.196764847,0.20516768,0.21563538,0.228287312,0.243682462,0.250414692,0.26624083,0.268938254,0.280815769,0.284399172,0.289789507,0.310196251,0.317113874
Indonesia,IDN,0.215759076,0.23236915,0.233368226,0.23612526,0.242093247,0.240672253,0.246708219,0.258010063,0.278191111,0.283643588,0.309885599,0.323081522,0.338341198,0.338641415,0.333020825,0.340604349,0.343274456,0.368382429,0.354983967
"Iran, Islamic Rep.",IRN,0.186153715,0.199646624,0.208571727,0.21962461,0.230099762,0.242326106,0.245917034,0.263655509,0.276177626,0.284116373,0.302425208,0.317780361,0.325313176,0.337389157,0.350098153,0.36064097,0.370336419,0.384561861,0.390364757
Iraq,IRQ,0.145083909,0.145822548,0.148585674,0.151181881,0.154839473,0.157476502,0.172936831,0.183276617,0.184150363,0.186209761,0.197598084,0.204350178,0.209417408,0.221031723,0.22129028,0.276725949,0.223118793,0.255753775,0.291802634
